source_row,group,work_type,recurrence_raw,unit_raw,recurrence_degree_raw
4,Ер кўтармаси ва сув кетказиш тизими,Боғловчисиз материалдан мустаҳкамланган йўл ёқасини текислаш,"0,012",km,84
5,Ер кўтармаси ва сув кетказиш тизими,Боғловчи материалдан қурилган йўл ёқасини ямоқ қилиш,"0,5",m2,2
6,Ер кўтармаси ва сув кетказиш тизими,"Йўл ёқасидаги, ён бағридаги, резервлардаги ўтларни ўриш","0,5",100 m2,2
7,Ер кўтармаси ва сув кетказиш тизими,"Сув кетказувчи ариқларни, йўл ён бош ариқларни тозалаш.",0.5,m,2
8,Ер кўтармаси ва сув кетказиш тизими,Сув ўтказувчи қувурларни тозалаш,0.5,m,2
9,Ер кўтармаси ва сув кетказиш тизими,Йўл атрофини чиқиндидан тозалаш,"0,007",m,140
10,Ер кўтармаси ва сув кетказиш тизими,Тўсиқлар ва сунъий иншоотлар остидаги тупроқни текислаш ва тозалаш,"0,5",100 m2,2
12,Йўл қопламаси,"Ямоқ килиш I ҳолатдаги (0, 05%)","0,5",m2,2
13,Йўл қопламаси,II ҳолат бўйича (0.7%),"0,5",m2,2
14,Йўл қопламаси,"III ҳолат бўйича (1,5%) қопламани ямоқ қилиш","0,33",m2,2
15,Йўл қопламаси,"IV ҳолат бўйича (2,5%)","0,2",m2,3
16,Йўл қопламаси,Йўл қопламасини чанг ва лойдан тозалаш,"0,007",100 m2,140
17,Йўл қопламаси,Қатнов қисмидан ҳар хил чиқиди ва нарсаларни олиб ташалаш,"0,007",km,140
18,Йўл қопламаси,Қатнов қисмини чангсизлантириш,"0,025",1000 m2,40
19,Йўл қопламаси,Органик боғловчи ортиқча бўлган жойларга майдаланган тош сепиш,"0,05",1000 m2,20
21,Сунъий иншоотлар,Кўприк элементларидаги майда бузилишларни таъмирлаш,1,m,1
22,Сунъий иншоотлар,Кўприкнинг айрим жойларидаги метал элементларни бўяш,"0,5",m2,2
23,Сунъий иншоотлар,Кўприкнинг қатнов қисмини чанг ва лойдан тозалаш,"0,033",100 m2,30
25,Йўл жиҳозлари,Нур қайтарувчи йўл белгиларини ва устунни ювиш:,,,
26,Йўл жиҳозлари,саноат ҳудудларида,"0,07",100 дона,14
27,Йўл жиҳозлари,саноат ҳудудларидан ташқарида,"0,1",100 дона,10
28,Йўл жиҳозлари,Нур қайтарувчи юзали белгиларни бўяш,"0,5",дона,2
29,Йўл жиҳозлари,Доимий равишда йўл белгиларини нур қайтарувчи белгилар билан алмаштириш:,,,
30,Йўл жиҳозлари,"саноат ҳудудларида, тоғли шароитларда","0,5",дона,2
31,Йўл жиҳозлари,саноат ҳудудларидан ташқарида,1,дона,1
32,Йўл жиҳозлари,Шикастланган йўл белгиларини алмаштириш,"0,033",дона,30
33,Йўл жиҳозлари,Йўл белгиларини қайта таъмирлаш,1,дона,1
34,Йўл жиҳозлари,Шикастланган устунларни алмашти риш,50,дона,"0,02"
35,Йўл жиҳозлари,Алоҳида лойиҳаланган йўл белгиларини тозалаш,"0,5",дона,2
36,Йўл жиҳозлари,Устунларни бўяш,1,дона,2
37,Йўл жиҳозлари,Алоҳида лойиҳаланган йўл белгиларини алмаштириш,1,дона,1
38,Йўл жиҳозлари,Нитробўёқда ётиқ белгилаш,"0,25",дона,4
39,Йўл жиҳозлари,Термопласт билан ётиқ белгилаш,4,дона,"0,25"
40,Йўл жиҳозлари,Тик белгилаш жойларини тозалаш,"0,33",дона,3
41,Йўл жиҳозлари,Тик белгиланишларни янгилаш,"0,5",дона,2
42,Йўл жиҳозлари,Тўсиқларни тозалаш,"0,07",дона,14
43,Йўл жиҳозлари,Тўсиқларни бўяш,"0,33",дона,3
44,Йўл жиҳозлари,Детекторлар қарови (тунелларда қўриқланадиган объектарда),"0,5",дона,2
45,Йўл жиҳозлари,Қайд қилувчи қурилмалар қарови (тунелларда қўриқланадиган объектларда),"0,5",дона,2
47,Кўкаламзорлаштириш,Манзарали дарахтларга қаров,1,km,1
48,Кўкаламзорлаштириш,"Эскирган, қуриган дарахтларни кесиш",5,10 скл.m3,"0,02"
49,Кўкаламзорлаштириш,Ёш ниҳолларни парваришлаш,"0,5",100 m2,2
50,Кўкаламзорлаштириш,Майсазорларни қарови,"0,3",100 m2,3
52,Йўл муҳандислик иншоотлари,Ёритгичларнинг метал қисмларини бўяш,1,дона,1
53,Йўл муҳандислик иншоотлари,Ёритгичлар устунларини ювиш,"0,07",дона,14
55,"Автобус тўхташ жойлари, дам олиш майдонлари, автопавильонлар","Автобус тўхташ жойлари, автопавильонларни супуриш, ахлатдан тозалаш","0,019",100 m2,52
56,"Автобус тўхташ жойлари, дам олиш майдонлари, автопавильонлар",Автопавильонларни ювиш,"0,1",100 m2,10
57,"Автобус тўхташ жойлари, дам олиш майдонлари, автопавильонлар",Автопавильонларни бўяш,"0,5",100 m2,2
58,"Автобус тўхташ жойлари, дам олиш майдонлари, автопавильонлар",Ахлат йиғувчи қурилмаларни тозалаш,"0,019",дона,52
59,"Автобус тўхташ жойлари, дам олиш майдонлари, автопавильонлар",Ўтиргичларни бўяш,"0,33",дона,3
60,"Автобус тўхташ жойлари, дам олиш майдонлари, автопавильонлар",Ўтиргичларни алмаштириш,20,дона,"0,05"
61,"Автобус тўхташ жойлари, дам олиш майдонлари, автопавильонлар",Дам олиш майдонларидаги туалетларни тозалаш,"0,019",дона,52
