source_table_index,source_row,norm_code,resource_category,resource_code,resource_name,unit_raw,quantity_per_work_unit_raw
33,2,27-14-001-01,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,"0,21"
33,2,27-14-001-02,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,-
33,4,27-14-001-01,machine,00107,Автогрейдер ўртача турдаги 99 кВт (135 о.к.),маш.-с,"0,21"
33,4,27-14-001-02,machine,00107,Автогрейдер ўртача турдаги 99 кВт (135 о.к.),маш.-с,-
33,6,27-14-001-01,material,45046,Грунт,т,115
33,6,27-14-001-02,material,45046,Грунт,т,"11,5"
34,2,27-14-002-01,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,"1,07"
34,2,27-14-002-02,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,"0,36"
34,4,27-14-002-01,machine,00258,Бошқа тур қурилиш ишлари учун бульдозерлар 79 кВт (108 о.к.),маш.-с,"1,07"
34,4,27-14-002-02,machine,00258,Бошқа тур қурилиш ишлари учун бульдозерлар 79 кВт (108 о.к.),маш.-с,"0,36"
35,2,27-14-003-01,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,"1,48"
35,2,27-14-003-02,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,"1,25"
35,4,27-14-003-01,machine,00625,Пневмоғилдиракли каток 16 t,маш.-с,"1,48"
35,4,27-14-003-02,machine,00625,Пневмоғилдиракли каток 16 t,маш.-с,-
35,5,27-14-003-01,machine,00626,Пневмоғилдиракли каток 30 t,маш.-с,-
35,5,27-14-003-02,machine,00626,Пневмоғилдиракли каток 30 t,маш.-с,"1,25"
36,2,27-14-006-01,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,"0,65"
36,4,27-14-006-01,machine,107,Автогрейдер ўртача турдаги 99 кВт (135 о. к.),маш.-с,"0,65"
37,2,27-14-008-01,labor_worker,1,Қурувчи ишчилар меҳнати харажатлари,киши-с,"0,72"
37,2,27-14-008-02,labor_worker,1,Қурувчи ишчилар меҳнати харажатлари,киши-с,"0,93"
38,2,27-14-010-01,labor_worker,1,Қурувчи ишчилар меҳнати харажатлари,киши-с,"1,84"
38,4,27-14-010-01,material,26634,Кўпйиллик майса уруғлари,кг,"1,2"
39,2,27-14-011-01,labor_worker,1,Қурувчи ишчилар меҳнати харажатлари,киши-с,"0,28"
39,3,27-14-011-01,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,"0,28"
39,5,27-14-011-01,machine,00534,Тиркама ўроқлар,маш.-с,"0,28"
39,6,27-14-011-01,machine,01856,Пневмоғилдиракли тракторлар 40 кВт (55 о.к.),маш.-с,"0,28"
40,2,27-14-014-01,labor_worker,1,Қурувчи ишчилар меҳнати харажатлари,киши-с,"0,4"
40,2,27-14-014-02,labor_worker,1,Қурувчи ишчилар меҳнати харажатлари,киши-с,"0,91"
41,2,27-14-017-01,labor_worker,1,Қурувчи ишчилар меҳнати харажатлари,киши-с,"4,94"
42,2,27-14-018-01,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,"0,73"
42,2,27-14-018-02,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,"0,27"
42,4,27-14-018-01,machine,00426,Тиркама плугли-ҳайдовчи мослама,маш.-с,"0,73"
42,4,27-14-018-02,machine,00426,Тиркама плугли-ҳайдовчи мослама,маш.-с,-
42,5,27-14-018-01,machine,01852,Бошқа турдаги қурилиш ишлари учун пневмоғилдиракли тракторлар 40 кВт (55 о.к.),маш.-с,"0,73"
42,5,27-14-018-02,machine,01852,Бошқа турдаги қурилиш ишлари учун пневмоғилдиракли тракторлар 40 кВт (55 о.к.),маш.-с,-
42,6,27-14-018-01,machine,00258,Бошқа турдаги қурилиш ишлари учун бульдозерлар 79 кВт (108 л.с.),маш.-с,-
42,6,27-14-018-02,machine,00258,Бошқа турдаги қурилиш ишлари учун бульдозерлар 79 кВт (108 л.с.),маш.-с,"0,27"
43,2,27-14-021-01,labor_worker,1,Қурувчи ишчилар меҳнати харажатлари,киши-с,"0,16"
43,4,27-14-021-01,material,43796,Тоғ жинсларини майдалашдаги чиқинди материаллар,м3,"0,204"
44,2,27-14-022-01,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,"0,82"
44,4,27-14-022-01,machine,01770,Комбинациялашган йўл машиналари,маш.-с,"0,82"
44,6,27-14-022-01,material,43796,Тоғ жинсларини майдалашдаги чиқинди материаллар,М3,"20,4"
45,2,27-14-023-01,labor_worker,1,Қурувчи ишчилар меҳнати харажатлари,киши-с,"69,93"
45,2,27-14-023-02,labor_worker,1,Қурувчи ишчилар меҳнати харажатлари,киши-с,"66,04"
45,3,27-14-023-01,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,"23,31"
45,3,27-14-023-02,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,18
45,5,27-14-023-01,machine,00621,Ўзиюрар силлиқ йўл катоклари 8 т,маш.-с,"7,77"
45,5,27-14-023-02,machine,00621,Ўзиюрар силлиқ йўл катоклари 8 т,маш.-с,6
45,6,27-14-023-01,machine,00660,Ички ёнув двигателли босими 686 кПа(7 ат) унумдорлиги 5 м3/мин бўлган кўчма компрессорлар,маш.-с,"7,77"
45,6,27-14-023-02,machine,00660,Ички ёнув двигателли босими 686 кПа(7 ат) унумдорлиги 5 м3/мин бўлган кўчма компрессорлар,маш.-с,6
45,7,27-14-023-01,machine,00913,Кўчма битум қозонлари 400 л,маш.-с,"7,77"
45,7,27-14-023-02,machine,00913,Кўчма битум қозонлари 400 л,маш.-с,6
45,8,27-14-023-01,machine,01199,Кўчма компрессор станциялардан ишлайдиган пневматик зарбаловчи болғалар,маш.-с,"7,77"
45,8,27-14-023-02,machine,01199,Кўчма компрессор станциялардан ишлайдиган пневматик зарбаловчи болғалар,маш.-с,12
45,9,27-14-023-01,machine,01771,Йўл устаси машинаси,маш.-с,"7,77"
45,9,27-14-023-02,machine,01771,Йўл устаси машинаси,маш.-с,6
45,11,27-14-023-01,material,30118,"Суюқ йўл нефть битумлари, МГ ва СГ турдаги",Т,"0,032"
45,11,27-14-023-02,material,30118,"Суюқ йўл нефть битумлари, МГ ва СГ турдаги",Т,"0,04"
45,12,27-14-023-01,material,45059,Асфальтбетон қоришмаси,Т,"11,7"
45,12,27-14-023-02,material,45059,Асфальтбетон қоришмаси,Т,"16,4"
46,2,27-14-024-01,labor_worker,1,Қурувчи ишчилар меҳнати харажатлари,киши-с,"54,39"
46,2,27-14-024-02,labor_worker,1,Қурувчи ишчилар меҳнати харажатлари,киши-с,"42,02"
46,3,27-14-024-01,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,"15,54"
46,3,27-14-024-02,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,12
46,5,27-14-024-01,machine,00621,Ўзиюрар силлиқ йўл катоклари 8 т,маш.-ч,"7,77"
