table_no,table_title,source_table_index,source_row,row_kind,subsection,explicit_code,effective_parent_code,work_type,basis,unit_raw,time_norm_raw_person_hours
1,1. Йўл пойини сақлаш учун вақт меъёрлари,2,3,heading,"1. Йўл ёқаси, қияликлар ва йўл минтақаси",,,"1. Йўл ёқаси, қияликлар ва йўл минтақаси",,,
1,1. Йўл пойини сақлаш учун вақт меъёрлари,2,4,norm,"1. Йўл ёқаси, қияликлар ва йўл минтақаси",1-1-1,1-1-1,"Чўккан жойлар, ювилиб кетган жойларга қўл кучи ёрдамида тупроқ солиш ва қотириш",К1-1,100 m2,"9,3"
1,1. Йўл пойини сақлаш учун вақт меъёрлари,2,5,norm,"1. Йўл ёқаси, қияликлар ва йўл минтақаси",1-1-2,1-1-2,Йўл четини чўккан қисмини қўл кучи билан автотранспорт воситасида ташиб келтирилган КША сидан тўлдириш.,К1-2,1 m3,"0,98"
1,1. Йўл пойини сақлаш учун вақт меъёрлари,2,6,heading,Йўл четини қўл кучи билан текислаш.,,1-1-2,Йўл четини қўл кучи билан текислаш.,К1-3,,
1,1. Йўл пойини сақлаш учун вақт меъёрлари,2,7,norm,Йўл четини қўл кучи билан текислаш.,1-1-3а,1-1-3а,I гуруҳ тупроқда,К1-3а,100 m2,"9,4"
1,1. Йўл пойини сақлаш учун вақт меъёрлари,2,8,norm,Йўл четини қўл кучи билан текислаш.,1-1-3б,1-1-3б,II гуруҳ тупроқда,К1-3б,100 m2,12
1,1. Йўл пойини сақлаш учун вақт меъёрлари,2,9,norm,Йўл четини қўл кучи билан текислаш.,1-1-3в,1-1-3в,III гуруҳ тупроқда,К1-3в,100 m2,18
1,1. Йўл пойини сақлаш учун вақт меъёрлари,2,10,norm,Йўл четини қўл кучи билан текислаш.,1-1-4,1-1-4,Йўл ёқасини чўккан қисмини автогрейдер (ўрта) ёрдамида ташиб келтирилган КША билан тўлдириш,К1-4,100 m2,"0,71"
1,1. Йўл пойини сақлаш учун вақт меъёрлари,2,11,norm,Йўл четини қўл кучи билан текислаш.,1-1-5,1-1-5,Йўл ёқасини чўккан қисмини резервдан ҚША олиб 6 m гача ташиш билан қўл кучи билан тўлдириш,К1-5,,
1,1. Йўл пойини сақлаш учун вақт меъёрлари,2,12,norm,Йўл четини қўл кучи билан текислаш.,1-1-5а,1-1-5а,50 mm гача чуқурликда,К1-5а,100 m2,"7,3"
